name;Temperatura;x_min;x_max;y_min;y_max
prueba;;0;1;0;1.1
REF;40;150;186;140;176
;50;150;186;140;176
PU ;40;150;186;110;146
PU FALLO;50;0;1;0;1.2
DC 1700 4,6 (1);40;80;146;120;146
DC 1700 4,6 (o 5,5);;80;171;155;171
DC 1700 5,5 LARGO;;80;181;165;181
DC 2600 3,7;;90;141;125;161
DC 2600 4,6;;220;256;145;181
DC 2600 5,5 PRUEBA 1;;75;91;129;145
DC 2600 5,5;;100;116;150;166
DC 2900 3,7;;75;111;140;176
DC 2900 4,6;;65;101;125;161
DC 2900 5,5;;65;101;145;181
DC 1700 3,7;50;270;296;125;151
DC 1700 4,6 (1);;110;136;150;176
DC 1700 4,6 (2);;290;306;65;81
DC 1700 5,5 LARGO;;80;96;170;186
PP 2600 4,6;40;190;226;130;166
;50;150;186;135;171
;60;200;236;165;201
;70;120;156;10;46
;80;170;206;125;161
;90;160;196;130;166
;99;100;196;155;166
;99,4;100;136;110;191
PP 2600 5,5;40;220;246;110;136
;50;200;226;140;166
;60;220;246;120;146
;70;190;216;155;181
;80;50;76;140;166
PP 2600 5,5 (cambiar nombre, pone DC);90;80;106;130;156
;100;70;96;170;196
MP 1700 3,7;40;150;186;100;136
;50;90;126;85;121
;60;170;206;130;166
;70;170;206;120;156
;80;170;206;130;166
;90;170;206;140;176
;100;170;206;160;196
MP 1700 5,5;40;;36;;36
;50;;36;;36
;60;;36;;36
;70;;36;;36
;80;;36;;36
;90;;36;;36
;100;;36;;36
MP 2600 3,7;40;;36;;36
;50;;36;;36
;60;;36;;36
;70;;36;;36
;80;;36;;36
;90;;36;;36
;100;;36;;36
MP 2600 4,6;40;;36;;36
;50;;36;;36
;60;;36;;36
;70;;36;;36
;80;;36;;36
;90;;36;;36
;-;;36;;36
MP 2600 5,5;40;;36;;36
;50;;36;;36
;60;;36;;36
;70;;36;;36
;80;;36;;36
;90;;36;;36
;100;;36;;36
MP 2900 3,7 ManualTopCoatThinner;40;;36;;36
;50;;36;;36
;60;;36;;36
;70;;36;;36
;80;;36;;36
;90;;36;;36
;100;;36;;36
2600_5.5_DipcoatingPalas_39.6;39.6;150;170;100;120
2600_5.5_DipcoatingPalas_50.3;50.3;120;140;220;240
2600_5.5_DipcoatingPalas_61.4;61.4;110;130;260;280
2600_5.5_DipcoatingPalas_71.4;71.4;145;165;100;120
2600_5.5_DipcoatingPalas_80.5;80.5;150;170;240;260
2600_5.5_DipcoatingPalas_90.3;90.3;130;150;240;260
2600_5.5_DipcoatingPalas_99.4;99.4;120;140;240;260
